ID,Nom,Images,gps,afficheur,annonceur,infraction_publicite,infraction_enseigne,infraction_rlpi,commentaire,Catégories (libellés),categories_ids,Latitude,Longitude,Numéro,Rue,Ville,Code postal,Créé le,Mise à jour le 
Nb,33-CANE-25,https://agence581.gogocarto.fr/uploads/agence581/images/elements/25.jpg,,AffiPlus,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,ZP1Article 5- InterdictionSont interdites:(...)les publicités ou préenseignes scellées au sol ou installées directement sur le sol;,,"Publicité ou préenseigne, sur panneau, au sol, non lumineuse","29,1,14,9",44.746288998632,-0.64421081529872,33,Avenue de la Libération,Canéjan,33610,"Sat, 15 Feb 2025 19:41:20 +0100","Tue, 27 May 2025 16:04:48 +0200"
Nd,33-CANE-26,https://agence581.gogocarto.fr/uploads/agence581/images/elements/27b.jpg,,E. Leclerc,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"ZP1
Article 5- Interdiction
Sont interdites:
(...)
les publicités ou préenseignes scellées au sol ou installées directement sur le sol;",,"Publicité ou préenseigne, sur panneau, au sol","29,1,14,9",44.746693616696,-0.64353489862697,31,Avenue de la Libération,Canéjan,33610,"Sat, 15 Feb 2025 19:54:37 +0100","Tue, 27 May 2025 16:06:40 +0200"
Ne,33-CANE-27,https://agence581.gogocarto.fr/uploads/agence581/images/elements/28b.jpg,,Château de Rouillac,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"ZP1
Article 5- Interdiction
Sont interdites:
(...)
les publicités ou préenseignes scellées au sol ou installées directement sur le sol;","préenseigne dérogatoire ? Non, les PE dérogatoires ne peuvent être installées  que hors agglo dans les moins de 10 000 hors UU. Ici, c'est une pub dans une agglo de moins de 10 000 en UU de plus de 100 000 mais qui doit respecter le RLP","Publicité ou préenseigne, sur panneau, au sol","29,1,14,9",44.764180923738,-0.66061306006304,44,Chemin du 20 Août 1949,Canéjan,33610,"Sat, 15 Feb 2025 19:59:01 +0100","Tue, 27 May 2025 16:38:46 +0200"
Nf,33-CANE-28,https://agence581.gogocarto.fr/uploads/agence581/images/elements/29cane.jpg,,Sport and fitness 33,,"publicité installée hors agglomération <BR>Article L. 581-7  <i> « En dehors des lieux qualifiés d’agglomération par les règlements relatifs à la circulation routière, toute publicité est interdite. […] » </i> <BR>NATINF 5881 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 € <BR>",,,préenseigne hors agglo,"Publicité ou préenseigne, sur panneau, au sol","29,1,14,9",44.765084362758,-0.6678518058834,44,D 214E3,Canéjan,33610,"Sun, 16 Feb 2025 10:31:55 +0100","Tue, 27 May 2025 16:39:56 +0200"
Ng,33-CANE-29,https://agence581.gogocarto.fr/uploads/agence581/images/elements/30cane.jpg,,Multiservices auto Citroën,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"ZP1
Article 5- Interdiction
Sont interdites:
(...)
les publicités ou préenseignes scellées au sol ou installées directement sur le sol;",préenseigne,"Publicité ou préenseigne, sur panneau, au sol","29,1,14,9",44.749476336677,-0.6394075155913,16,Avenue de la Libération,Canéjan,33610,"Sun, 16 Feb 2025 10:35:50 +0100","Tue, 27 May 2025 16:36:52 +0200"
Nh,33-CANE-30,https://agence581.gogocarto.fr/uploads/agence581/images/elements/33-cane-31-mai-2025-2.jpg,,PubliAquitaine,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"ZP1
Article 5- Interdiction
Sont interdites:
les publicités ou préenseignes apposées sur un mur ou une clôture;",préenseigne,"Publicité ou préenseigne, sur panneau, apposé sur un mur , non lumineuse","29,1,15,9",44.748504838246,-0.64071428769239,21,Avenue de la Libération,Canéjan,33610,"Sun, 16 Feb 2025 10:41:27 +0100","Tue, 27 May 2025 16:13:02 +0200"
Ni,33-CANE-31,https://agence581.gogocarto.fr/uploads/agence581/images/elements/32cane.jpg,,PubliAquitaine,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"ZP1
Article 5- Interdiction
Sont interdites:
(...)
les publicités ou préenseignes scellées au sol ou installées directement sur le sol;","préenseigne
à moins de 10 mètres d'une baie voisine","Publicité ou préenseigne, sur panneau, au sol","29,1,14,9",44.762317630218,-0.65115451812744,16,Chemin des Peyrères,Canéjan,33610,"Sun, 16 Feb 2025 10:48:48 +0100","Tue, 27 May 2025 16:18:34 +0200"
Nj,33-CANE-32,https://agence581.gogocarto.fr/uploads/agence581/images/elements/33cane.jpg,,PubliAquitaine,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"ZP1
Article 5- Interdiction
Sont interdites:
(...)
les publicités ou préenseignes scellées au sol ou installées directement sur le sol;",,"Publicité ou préenseigne, sur panneau, au sol","29,1,14",44.762292491206,-0.65142059345817,16,Chemin des Peyrères,Canéjan,33610,"Sun, 16 Feb 2025 10:51:58 +0100","Tue, 27 May 2025 16:20:08 +0200"
Nk,33-CANE-33,https://agence581.gogocarto.fr/uploads/agence581/images/elements/34.jpg,,Red Affi 33,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"Article 5- Interdiction
Sont interdites:
(...)
les publicités ou préenseignes scellées au sol ou installées directement sur le sol;",,"Publicité ou préenseigne, sur panneau, au sol","29,1,14,9",44.748163476349,-0.64169490324275,1,Chemin de Geneste,Canéjan,33610,"Sun, 16 Feb 2025 10:56:48 +0100","Tue, 27 May 2025 16:11:34 +0200"
Nl,33-CANE-34,https://agence581.gogocarto.fr/uploads/agence581/images/elements/35.jpg,,PubliAquitaine,,"dispositif non conforme aux dispositions du règlement local de publicité -<BR>Article L581-34 <i>« I. - Est puni d'une amende [...] le fait d'apposer, de faire apposer ou de maintenir après mise en demeure une publicité, une enseigne ou une préenseigne : [...] 3 sans avoir observé les dispositions particulières prévues par le règlement local de publicité [...]</i><BR>NATINF 27951 DELIT <BR>Amende pénale : Personne physique 7 500 € Personne morale 37 500 €  <BR>",,"Article 5- Interdiction
Sont interdites:
les publicités ou préenseignes apposées sur un mur ou une clôture;",préenseigne,"Publicité ou préenseigne, sur panneau, apposé sur un mur ","29,1,15,9",44.7484131,-0.6409882,23,Avenue de la Libération,Canéjan,33610,"Sun, 16 Feb 2025 10:59:44 +0100","Tue, 27 May 2025 16:12:16 +0200"
